ep     1 | eps 0.90 | return  -928.53 | HO   0.79 | HOF 186.08 | SE  0.94 | loss nan |     12s
ep  1300 | eps 0.32 | return  -821.55 | HO   1.50 | HOF 164.23 | SE  1.03 | loss 0.0389 |  12540s
ep  1325 | eps 0.31 | return  -819.89 | HO   1.48 | HOF 164.03 | SE  1.04 | loss 0.0379 |  12781s
ep  1350 | eps 0.30 | return  -813.42 | HO   1.52 | HOF 162.64 | SE  1.04 | loss 0.0381 |  13022s
ep  1375 | eps 0.29 | return  -806.73 | HO   1.59 | HOF 161.24 | SE  1.04 | loss 0.0382 |  13262s
ep  1400 | eps 0.28 | return  -805.88 | HO   1.60 | HOF 161.12 | SE  1.05 | loss 0.0364 |  13503s
ep  1425 | eps 0.27 | return  -799.87 | HO   1.59 | HOF 159.85 | SE  1.05 | loss 0.0367 |  13743s
ep  1450 | eps 0.26 | return  -802.88 | HO   1.60 | HOF 160.57 | SE  1.05 | loss 0.0361 |  13983s
ep  1475 | eps 0.24 | return  -790.72 | HO   1.57 | HOF 157.96 | SE  1.06 | loss 0.0352 |  14224s
ep  1500 | eps 0.23 | return  -789.18 | HO   1.63 | HOF 157.76 | SE  1.06 | loss 0.0356 |  14466s
ep  1525 | eps 0.22 | return  -785.42 | HO   1.65 | HOF 156.81 | SE  1.06 | loss 0.0347 |  14706s
ep  1550 | eps 0.21 | return  -787.56 | HO   1.60 | HOF 157.46 | SE  1.07 | loss 0.0342 |  14947s
ep  1575 | eps 0.20 | return  -781.35 | HO   1.61 | HOF 156.25 | SE  1.07 | loss 0.0341 |  15187s
ep  1600 | eps 0.19 | return  -777.03 | HO   1.64 | HOF 155.26 | SE  1.07 | loss 0.0347 |  15428s
ep  1625 | eps 0.18 | return  -769.73 | HO   1.68 | HOF 154.03 | SE  1.08 | loss 0.0337 |  15668s
ep  1650 | eps 0.17 | return  -763.54 | HO   1.71 | HOF 152.68 | SE  1.08 | loss 0.0332 |  15908s
ep  1675 | eps 0.16 | return  -758.44 | HO   1.74 | HOF 151.69 | SE  1.09 | loss 0.0330 |  16150s
ep  1700 | eps 0.14 | return  -750.47 | HO   1.78 | HOF 149.76 | SE  1.09 | loss 0.0321 |  16391s
ep  1725 | eps 0.13 | return  -744.56 | HO   1.74 | HOF 148.39 | SE  1.09 | loss 0.0321 |  16631s
ep  1750 | eps 0.12 | return  -745.08 | HO   1.68 | HOF 148.95 | SE  1.10 | loss 0.0320 |  16871s
ep  1775 | eps 0.11 | return  -735.34 | HO   1.76 | HOF 146.84 | SE  1.11 | loss 0.0312 |  17111s
ep  1800 | eps 0.10 | return  -728.14 | HO   1.80 | HOF 145.43 | SE  1.11 | loss 0.0308 |  17351s
ep  1825 | eps 0.10 | return  -725.94 | HO   1.82 | HOF 145.04 | SE  1.12 | loss 0.0310 |  17592s
ep  1850 | eps 0.10 | return  -730.72 | HO   1.78 | HOF 146.04 | SE  1.11 | loss 0.0299 |  17832s
ep  1875 | eps 0.10 | return  -720.12 | HO   1.79 | HOF 143.69 | SE  1.12 | loss 0.0297 |  18073s
ep  1900 | eps 0.10 | return  -728.21 | HO   1.75 | HOF 145.53 | SE  1.11 | loss 0.0304 |  18312s
ep  1925 | eps 0.10 | return  -727.33 | HO   1.84 | HOF 145.14 | SE  1.11 | loss 0.0303 |  18553s
ep  1950 | eps 0.10 | return  -719.43 | HO   1.87 | HOF 143.58 | SE  1.12 | loss 0.0308 |  18793s
ep  1975 | eps 0.10 | return  -731.47 | HO   1.86 | HOF 146.33 | SE  1.11 | loss 0.0307 |  19035s
ep  2000 | eps 0.10 | return  -723.24 | HO   1.81 | HOF 144.56 | SE  1.12 | loss 0.0301 |  19275s
ep  2025 | eps 0.10 | return  -725.43 | HO   1.90 | HOF 145.00 | SE  1.12 | loss 0.0296 |  19515s
ep  2050 | eps 0.10 | return  -731.35 | HO   1.85 | HOF 146.22 | SE  1.11 | loss 0.0305 |  19756s
