ep     1 | eps 0.90 | return   -32.34 | HO   7.30 | HOF 54.99 | SE  2.13 | loss nan |      4s
ep  1325 | eps 0.31 | return   115.95 | HO   8.31 | HOF 28.21 | SE  2.32 | loss 0.0665 |   5307s
ep  1350 | eps 0.30 | return   119.45 | HO   8.38 | HOF 27.37 | SE  2.33 | loss 0.0653 |   5407s
ep  1375 | eps 0.29 | return   121.72 | HO   8.20 | HOF 27.20 | SE  2.33 | loss 0.0631 |   5506s
ep  1400 | eps 0.28 | return   125.87 | HO   8.27 | HOF 26.19 | SE  2.34 | loss 0.0616 |   5606s
ep  1425 | eps 0.27 | return   128.87 | HO   8.15 | HOF 25.86 | SE  2.34 | loss 0.0609 |   5706s
ep  1450 | eps 0.26 | return   132.05 | HO   8.13 | HOF 25.03 | SE  2.34 | loss 0.0603 |   5806s
ep  1475 | eps 0.24 | return   136.65 | HO   8.40 | HOF 23.98 | SE  2.35 | loss 0.0593 |   5907s
ep  1500 | eps 0.23 | return   140.10 | HO   8.49 | HOF 23.59 | SE  2.35 | loss 0.0587 |   6007s
ep  1525 | eps 0.22 | return   141.54 | HO   8.60 | HOF 23.17 | SE  2.35 | loss 0.0573 |   6107s
ep  1550 | eps 0.21 | return   143.87 | HO   8.71 | HOF 22.31 | SE  2.36 | loss 0.0560 |   6207s
ep  1575 | eps 0.20 | return   149.08 | HO   8.73 | HOF 21.43 | SE  2.36 | loss 0.0549 |   6308s
ep  1600 | eps 0.19 | return   152.62 | HO   8.74 | HOF 20.70 | SE  2.37 | loss 0.0538 |   6408s
ep  1625 | eps 0.18 | return   156.49 | HO   9.00 | HOF 19.68 | SE  2.37 | loss 0.0527 |   6508s
ep  1650 | eps 0.17 | return   157.23 | HO   8.91 | HOF 19.68 | SE  2.37 | loss 0.0517 |   6608s
ep  1675 | eps 0.16 | return   161.68 | HO   9.18 | HOF 18.63 | SE  2.37 | loss 0.0504 |   6709s
ep  1700 | eps 0.14 | return   165.13 | HO   9.05 | HOF 17.91 | SE  2.38 | loss 0.0493 |   6809s
ep  1725 | eps 0.13 | return   166.54 | HO   9.29 | HOF 17.10 | SE  2.38 | loss 0.0485 |   6909s
ep  1750 | eps 0.12 | return   172.25 | HO   9.38 | HOF 15.99 | SE  2.38 | loss 0.0478 |   7009s
ep  1775 | eps 0.11 | return   176.66 | HO   9.35 | HOF 15.26 | SE  2.39 | loss 0.0466 |   7108s
ep  1800 | eps 0.10 | return   179.72 | HO   9.38 | HOF 14.55 | SE  2.39 | loss 0.0463 |   7209s
ep  1825 | eps 0.10 | return   181.68 | HO   9.65 | HOF 14.04 | SE  2.39 | loss 0.0454 |   7309s
ep  1850 | eps 0.10 | return   182.94 | HO   9.23 | HOF 14.24 | SE  2.40 | loss 0.0447 |   7409s
ep  1875 | eps 0.10 | return   182.24 | HO   9.60 | HOF 13.79 | SE  2.39 | loss 0.0439 |   7509s
ep  1900 | eps 0.10 | return   181.60 | HO   9.60 | HOF 13.71 | SE  2.39 | loss 0.0432 |   7609s
ep  1925 | eps 0.10 | return   182.93 | HO   9.42 | HOF 13.78 | SE  2.39 | loss 0.0419 |   7709s
ep  1950 | eps 0.10 | return   182.26 | HO   9.63 | HOF 13.60 | SE  2.39 | loss 0.0406 |   7809s
ep  1975 | eps 0.10 | return   181.83 | HO   9.47 | HOF 13.71 | SE  2.39 | loss 0.0404 |   7909s
ep  2000 | eps 0.10 | return   182.73 | HO   9.50 | HOF 13.45 | SE  2.39 | loss 0.0391 |   8010s
ep  2025 | eps 0.10 | return   182.16 | HO   9.44 | HOF 13.48 | SE  2.39 | loss 0.0384 |   8110s
ep  2050 | eps 0.10 | return   183.60 | HO   9.57 | HOF 13.12 | SE  2.39 | loss 0.0375 |   8209s
ep  2075 | eps 0.10 | return   181.61 | HO   9.66 | HOF 13.34 | SE  2.39 | loss 0.0369 |   8309s
ep  2100 | eps 0.10 | return   182.00 | HO   9.80 | HOF 13.18 | SE  2.39 | loss 0.0364 |   8409s
ep  2125 | eps 0.10 | return   181.37 | HO   9.65 | HOF 13.42 | SE  2.39 | loss 0.0361 |   8509s
ep  2150 | eps 0.10 | return   184.23 | HO   9.49 | HOF 13.30 | SE  2.39 | loss 0.0357 |   8610s
ep  2175 | eps 0.10 | return   183.06 | HO   9.51 | HOF 13.49 | SE  2.39 | loss 0.0347 |   8710s
ep  2200 | eps 0.10 | return   183.82 | HO   9.81 | HOF 13.01 | SE  2.39 | loss 0.0343 |   8810s
ep  2225 | eps 0.10 | return   183.58 | HO   9.85 | HOF 13.10 | SE  2.39 | loss 0.0341 |   8910s
ep  2250 | eps 0.10 | return   182.12 | HO   9.55 | HOF 13.55 | SE  2.39 | loss 0.0339 |   9010s
ep  2275 | eps 0.10 | return   182.35 | HO   9.92 | HOF 13.15 | SE  2.39 | loss 0.0335 |   9110s
ep  2300 | eps 0.10 | return   184.15 | HO   9.71 | HOF 13.32 | SE  2.39 | loss 0.0329 |   9210s
ep  2325 | eps 0.10 | return   183.33 | HO   9.73 | HOF 13.18 | SE  2.39 | loss 0.0328 |   9310s
ep  2350 | eps 0.10 | return   183.89 | HO   9.86 | HOF 13.01 | SE  2.39 | loss 0.0328 |   9410s
ep  2375 | eps 0.10 | return   184.06 | HO   9.78 | HOF 13.07 | SE  2.39 | loss 0.0322 |   9510s
ep  2400 | eps 0.10 | return   184.17 | HO   9.75 | HOF 13.07 | SE  2.39 | loss 0.0318 |   9611s
ep  2425 | eps 0.10 | return   182.71 | HO   9.69 | HOF 13.29 | SE  2.38 | loss 0.0319 |   9711s
ep  2450 | eps 0.10 | return   183.15 | HO   9.64 | HOF 13.14 | SE  2.39 | loss 0.0316 |   9811s
ep  2475 | eps 0.10 | return   183.49 | HO   9.86 | HOF 12.94 | SE  2.39 | loss 0.0312 |   9911s
ep  2500 | eps 0.10 | return   185.61 | HO  10.01 | HOF 12.59 | SE  2.39 | loss 0.0306 |  10011s
ep  2525 | eps 0.10 | return   184.13 | HO  10.00 | HOF 12.62 | SE  2.39 | loss 0.0304 |  10111s
ep  2550 | eps 0.10 | return   185.33 | HO   9.77 | HOF 12.87 | SE  2.39 | loss 0.0302 |  10212s
ep  2575 | eps 0.10 | return   186.57 | HO   9.88 | HOF 12.59 | SE  2.39 | loss 0.0301 |  10312s
ep  2600 | eps 0.10 | return   184.67 | HO  10.00 | HOF 12.67 | SE  2.39 | loss 0.0299 |  10412s
ep  2625 | eps 0.10 | return   186.07 | HO   9.90 | HOF 12.52 | SE  2.39 | loss 0.0303 |  10512s
ep  2650 | eps 0.10 | return   184.82 | HO  10.04 | HOF 12.43 | SE  2.38 | loss 0.0300 |  10612s
ep  2675 | eps 0.10 | return   185.05 | HO   9.92 | HOF 12.66 | SE  2.39 | loss 0.0296 |  10712s
ep  2700 | eps 0.10 | return   185.49 | HO   9.97 | HOF 12.46 | SE  2.39 | loss 0.0294 |  10812s
ep  2725 | eps 0.10 | return   185.58 | HO   9.98 | HOF 12.47 | SE  2.39 | loss 0.0290 |  10912s
ep  2750 | eps 0.10 | return   185.14 | HO   9.89 | HOF 12.51 | SE  2.38 | loss 0.0285 |  11012s
ep  2775 | eps 0.10 | return   185.05 | HO   9.88 | HOF 12.52 | SE  2.39 | loss 0.0282 |  11112s
ep  2800 | eps 0.10 | return   184.87 | HO  10.07 | HOF 12.27 | SE  2.38 | loss 0.0279 |  11212s
ep  2825 | eps 0.10 | return   188.18 | HO   9.81 | HOF 12.30 | SE  2.39 | loss 0.0276 |  11312s
ep  2850 | eps 0.10 | return   186.50 | HO  10.11 | HOF 12.19 | SE  2.39 | loss 0.0270 |  11413s
ep  2875 | eps 0.10 | return   185.86 | HO  10.04 | HOF 12.26 | SE  2.39 | loss 0.0269 |  11513s
ep  2900 | eps 0.10 | return   185.37 | HO  10.05 | HOF 12.30 | SE  2.38 | loss 0.0267 |  11613s
ep  2925 | eps 0.10 | return   187.67 | HO  10.01 | HOF 12.10 | SE  2.39 | loss 0.0268 |  11713s
ep  2950 | eps 0.10 | return   187.29 | HO   9.89 | HOF 12.36 | SE  2.39 | loss 0.0266 |  11813s
ep  2975 | eps 0.10 | return   186.99 | HO  10.05 | HOF 12.22 | SE  2.39 | loss 0.0266 |  11914s
ep  3000 | eps 0.10 | return   186.06 | HO  10.09 | HOF 12.21 | SE  2.38 | loss 0.0265 |  12014s
