ep     1 | eps 0.90 | return   212.50 | HO   2.60 | HOF 64.10 | SE  2.06 | loss nan |      3s
ep    25 | eps 0.89 | return   220.01 | HO   2.91 | HOF 63.07 | SE  2.08 | loss 5.4381 |     78s
ep    50 | eps 0.88 | return   219.74 | HO   2.81 | HOF 63.31 | SE  2.08 | loss 5.3581 |    158s
ep    75 | eps 0.87 | return   225.08 | HO   2.89 | HOF 62.41 | SE  2.09 | loss 5.2160 |    237s
ep   100 | eps 0.86 | return   227.76 | HO   3.04 | HOF 61.75 | SE  2.09 | loss 4.9763 |    316s
ep   125 | eps 0.84 | return   230.81 | HO   3.09 | HOF 61.39 | SE  2.09 | loss 4.7045 |    396s
ep   150 | eps 0.83 | return   232.37 | HO   3.05 | HOF 61.24 | SE  2.09 | loss 4.5298 |    476s
ep   175 | eps 0.82 | return   234.28 | HO   3.02 | HOF 60.86 | SE  2.10 | loss 4.4571 |    556s
ep   200 | eps 0.81 | return   236.84 | HO   3.02 | HOF 60.72 | SE  2.10 | loss 4.4228 |    636s
ep   225 | eps 0.80 | return   236.80 | HO   3.07 | HOF 60.61 | SE  2.10 | loss 4.3902 |    715s
ep   250 | eps 0.79 | return   240.53 | HO   3.12 | HOF 60.17 | SE  2.10 | loss 4.3218 |    796s
ep   275 | eps 0.78 | return   244.17 | HO   3.19 | HOF 59.52 | SE  2.10 | loss 4.2860 |    876s
ep   300 | eps 0.77 | return   247.09 | HO   3.15 | HOF 59.25 | SE  2.11 | loss 4.2408 |    955s
ep   325 | eps 0.76 | return   251.82 | HO   3.13 | HOF 58.84 | SE  2.11 | loss 4.1752 |   1036s
ep   350 | eps 0.74 | return   252.91 | HO   3.33 | HOF 58.13 | SE  2.12 | loss 4.1003 |   1115s
ep   375 | eps 0.73 | return   257.36 | HO   3.28 | HOF 57.92 | SE  2.12 | loss 3.9503 |   1195s
ep   400 | eps 0.72 | return   260.77 | HO   3.41 | HOF 57.38 | SE  2.12 | loss 3.8180 |   1275s
