ep     1 | eps 0.90 | return  -109.93 | HO   2.35 | HOF 68.20 | SE  2.05 | loss nan |      3s
ep  1150 | eps 0.52 | return    -6.13 | HO   3.35 | HOF 49.97 | SE  2.19 | loss 0.0746 |   3801s
ep  1175 | eps 0.51 | return    -6.39 | HO   3.36 | HOF 49.92 | SE  2.19 | loss 0.0476 |   3881s
ep  1200 | eps 0.50 | return    -1.70 | HO   3.41 | HOF 49.01 | SE  2.19 | loss 0.0463 |   3961s
ep  1225 | eps 0.49 | return     3.28 | HO   3.47 | HOF 48.28 | SE  2.20 | loss 0.0493 |   4041s
ep  1250 | eps 0.48 | return     5.37 | HO   3.27 | HOF 48.14 | SE  2.20 | loss 0.0548 |   4120s
ep  1275 | eps 0.47 | return     6.61 | HO   3.41 | HOF 47.49 | SE  2.20 | loss 0.0493 |   4200s
ep  1300 | eps 0.47 | return    14.26 | HO   3.64 | HOF 46.14 | SE  2.21 | loss 0.0416 |   4280s
ep  1325 | eps 0.46 | return    12.39 | HO   3.59 | HOF 46.23 | SE  2.21 | loss 0.0398 |   4360s
ep  1350 | eps 0.45 | return    17.88 | HO   3.55 | HOF 45.53 | SE  2.22 | loss 0.0390 |   4440s
ep  1375 | eps 0.44 | return    20.12 | HO   3.48 | HOF 45.37 | SE  2.22 | loss 0.0382 |   4519s
ep  1400 | eps 0.43 | return    19.58 | HO   3.47 | HOF 45.27 | SE  2.22 | loss 0.0381 |   4599s
ep  1425 | eps 0.42 | return    23.65 | HO   3.48 | HOF 44.44 | SE  2.22 | loss 0.0372 |   4679s
ep  1450 | eps 0.42 | return    26.29 | HO   3.65 | HOF 43.77 | SE  2.23 | loss 0.0358 |   4759s
ep  1475 | eps 0.41 | return    32.68 | HO   3.63 | HOF 42.91 | SE  2.24 | loss 0.0353 |   4839s
ep  1500 | eps 0.40 | return    33.99 | HO   3.75 | HOF 42.55 | SE  2.24 | loss 0.0342 |   4919s
