ep     1 | eps 0.90 | return   -99.87 | HO   2.35 | HOF 65.96 | SE  2.06 | loss nan |      3s
ep    25 | eps 0.89 | return   -98.76 | HO   2.41 | HOF 65.94 | SE  2.06 | loss 8.5697 |     86s
ep    50 | eps 0.88 | return   -95.01 | HO   2.49 | HOF 65.55 | SE  2.07 | loss 0.6321 |    172s
ep    75 | eps 0.88 | return   -95.49 | HO   2.51 | HOF 65.74 | SE  2.07 | loss 0.2355 |    260s
ep   100 | eps 0.87 | return  -102.16 | HO   2.47 | HOF 66.55 | SE  2.06 | loss 0.1519 |    341s
ep   125 | eps 0.86 | return   -84.08 | HO   2.85 | HOF 63.44 | SE  2.08 | loss 0.1688 |    426s
ep   150 | eps 0.85 | return   -77.39 | HO   2.88 | HOF 62.25 | SE  2.09 | loss 0.0633 |    509s
ep   175 | eps 0.84 | return   -76.26 | HO   2.97 | HOF 61.99 | SE  2.09 | loss 0.0664 |    592s
ep   200 | eps 0.83 | return   -78.82 | HO   2.97 | HOF 62.39 | SE  2.09 | loss 0.1053 |    671s
ep   225 | eps 0.82 | return   -81.09 | HO   2.77 | HOF 63.00 | SE  2.09 | loss 0.1308 |    751s
ep   250 | eps 0.82 | return   -83.98 | HO   2.72 | HOF 63.59 | SE  2.08 | loss 0.1043 |    830s
ep   275 | eps 0.81 | return   -86.39 | HO   2.48 | HOF 64.14 | SE  2.08 | loss 0.2551 |    911s
ep   300 | eps 0.80 | return   -82.62 | HO   2.55 | HOF 63.57 | SE  2.08 | loss 0.6776 |    992s
ep   325 | eps 0.79 | return   -82.59 | HO   2.59 | HOF 63.31 | SE  2.08 | loss 0.3158 |   1072s
ep   350 | eps 0.78 | return   -84.68 | HO   2.50 | HOF 63.76 | SE  2.08 | loss 0.6069 |   1151s
ep   375 | eps 0.78 | return   -72.13 | HO   2.95 | HOF 61.40 | SE  2.10 | loss 0.1553 |   1232s
ep   400 | eps 0.77 | return   -65.64 | HO   3.11 | HOF 60.14 | SE  2.11 | loss 0.1383 |   1311s
ep   425 | eps 0.76 | return   -64.20 | HO   3.15 | HOF 59.84 | SE  2.11 | loss 0.1266 |   1391s
ep   450 | eps 0.75 | return   -62.90 | HO   3.05 | HOF 59.67 | SE  2.11 | loss 0.0717 |   1470s
ep   475 | eps 0.74 | return   -64.42 | HO   2.99 | HOF 59.97 | SE  2.11 | loss 0.0683 |   1550s
ep   500 | eps 0.73 | return   -67.42 | HO   2.93 | HOF 60.47 | SE  2.10 | loss 0.0715 |   1628s
ep   525 | eps 0.72 | return   -70.46 | HO   2.74 | HOF 61.05 | SE  2.10 | loss 0.0709 |   1708s
ep   550 | eps 0.72 | return   -71.11 | HO   2.68 | HOF 61.20 | SE  2.10 | loss 0.0677 |   1787s
ep   575 | eps 0.71 | return   -69.34 | HO   2.64 | HOF 61.04 | SE  2.10 | loss 0.0648 |   1867s
ep   600 | eps 0.70 | return   -70.28 | HO   2.67 | HOF 61.15 | SE  2.10 | loss 0.0623 |   1946s
ep   625 | eps 0.69 | return   -64.97 | HO   2.76 | HOF 60.38 | SE  2.11 | loss 0.0574 |   2026s
ep   650 | eps 0.68 | return   -66.98 | HO   2.64 | HOF 60.56 | SE  2.10 | loss 0.0528 |   2105s
ep   675 | eps 0.68 | return   -68.18 | HO   2.68 | HOF 60.65 | SE  2.10 | loss 0.0492 |   2184s
ep   700 | eps 0.67 | return   -67.13 | HO   2.60 | HOF 60.63 | SE  2.10 | loss 0.0474 |   2264s
ep   725 | eps 0.66 | return   -64.99 | HO   2.60 | HOF 60.28 | SE  2.11 | loss 0.0459 |   2343s
ep   750 | eps 0.65 | return   -66.20 | HO   2.56 | HOF 60.47 | SE  2.11 | loss 0.0453 |   2422s
ep   775 | eps 0.64 | return   -59.66 | HO   2.79 | HOF 59.35 | SE  2.12 | loss 0.0485 |   2501s
ep   800 | eps 0.63 | return   -65.87 | HO   2.49 | HOF 60.34 | SE  2.11 | loss 0.0495 |   2580s
ep   825 | eps 0.62 | return   -42.41 | HO   3.27 | HOF 55.87 | SE  2.13 | loss 0.0628 |   2659s
ep   850 | eps 0.62 | return   -30.72 | HO   3.48 | HOF 53.83 | SE  2.15 | loss 0.0559 |   2739s
