waiting for runs/ilcho_sigmoid_v2/policy.pt ...
v2 done -- continuing Fri, Sep  4, 2026  4:28:12 PM
############ linear-reward ablation (Eq. 30) ############
E:\learning\NTN-6G\ilcho_repro\src\ilcho\train.py:114: RuntimeWarning: Mean of empty slice
  f"loss {np.nanmean(hist['loss'][w]):.4f} | "
MD-CHO     starlink_phase_1a  UE= 20 | ho   4.880 | hof  51.230 | se   1.966 | jfi   0.997 | occ_var   0.144
MD-CHO     starlink_phase_1a  UE= 30 | ho   1.540 | hof  72.847 | se   1.818 | jfi   0.993 | occ_var   0.180
MD-CHO     starlink_phase_1a  UE= 40 | ho   0.370 | hof  85.755 | se   1.717 | jfi   0.995 | occ_var   0.202
MD-CHO     starlink_phase_1a  UE= 50 | ho   0.000 | hof  91.476 | se   1.666 | jfi   0.998 | occ_var   0.203
MVT-CHO    starlink_phase_1a  UE=  5 | ho   5.000 | hof   0.000 | se   2.005 | jfi   0.999 | occ_var   0.023
MVT-CHO    starlink_phase_1a  UE= 10 | ho   4.840 | hof   2.360 | se   1.978 | jfi   0.999 | occ_var   0.065
MVT-CHO    starlink_phase_1a  UE= 20 | ho   3.510 | hof  11.550 | se   1.900 | jfi   0.998 | occ_var   0.126
MVT-CHO    starlink_phase_1a  UE= 30 | ho   2.840 | hof  17.433 | se   1.851 | jfi   0.997 | occ_var   0.182
MVT-CHO    starlink_phase_1a  UE= 40 | ho   2.170 | hof  26.050 | se   1.760 | jfi   0.998 | occ_var   0.204
MVT-CHO    starlink_phase_1a  UE= 50 | ho   1.684 | hof  33.312 | se   1.684 | jfi   0.996 | occ_var   0.200
HSNF       starlink_phase_1a  UE=  5 | ho  11.160 | hof   0.040 | se   2.218 | jfi   0.999 | occ_var   0.029
HSNF       starlink_phase_1a  UE= 10 | ho   9.500 | hof   0.020 | se   2.216 | jfi   0.999 | occ_var   0.079
HSNF       starlink_phase_1a  UE= 20 | ho   7.260 | hof   0.010 | se   2.055 | jfi   0.998 | occ_var   0.144
HSNF       starlink_phase_1a  UE= 30 | ho   7.233 | hof   0.013 | se   1.933 | jfi   0.997 | occ_var   0.174
HSNF       starlink_phase_1a  UE= 40 | ho   6.410 | hof   0.005 | se   1.837 | jfi   0.996 | occ_var   0.201
HSNF       starlink_phase_1a  UE= 50 | ho   5.484 | hof   0.080 | se   1.727 | jfi   0.995 | occ_var   0.193
LBSH       starlink_phase_1a  UE=  5 | ho   5.040 | hof   0.120 | se   1.631 | jfi   0.997 | occ_var   0.014
LBSH       starlink_phase_1a  UE= 10 | ho   5.000 | hof   0.180 | se   1.624 | jfi   0.996 | occ_var   0.034
LBSH       starlink_phase_1a  UE= 20 | ho   5.400 | hof   0.290 | se   1.616 | jfi   0.996 | occ_var   0.075
LBSH       starlink_phase_1a  UE= 30 | ho   4.920 | hof   0.593 | se   1.614 | jfi   0.995 | occ_var   0.117
LBSH       starlink_phase_1a  UE= 40 | ho   4.645 | hof   0.860 | se   1.619 | jfi   0.997 | occ_var   0.141
LBSH       starlink_phase_1a  UE= 50 | ho   4.276 | hof   1.228 | se   1.602 | jfi   0.997 | occ_var   0.148
############ report assets ############
wrote report_assets/TABLES.md and figures
ALL DONE Fri, Sep  4, 2026  6:02:29 PM
