ep     1 | eps 0.90 | return   196.54 | HO   2.60 | HOF 64.10 | SE  2.06 | loss nan |      3s
ep  1325 | eps 0.31 | return   363.40 | HO   3.85 | HOF 37.69 | SE  2.26 | loss 0.0376 |   4236s
ep  1350 | eps 0.30 | return   368.80 | HO   3.82 | HOF 36.80 | SE  2.27 | loss 0.0363 |   4316s
ep  1375 | eps 0.29 | return   373.72 | HO   4.00 | HOF 35.85 | SE  2.27 | loss 0.0343 |   4396s
ep  1400 | eps 0.28 | return   381.00 | HO   4.07 | HOF 34.81 | SE  2.28 | loss 0.0334 |   4476s
ep  1425 | eps 0.27 | return   385.16 | HO   4.08 | HOF 34.11 | SE  2.29 | loss 0.0320 |   4556s
ep  1450 | eps 0.26 | return   391.25 | HO   4.06 | HOF 33.28 | SE  2.29 | loss 0.0315 |   4636s
ep  1475 | eps 0.24 | return   396.52 | HO   4.15 | HOF 32.24 | SE  2.30 | loss 0.0296 |   4716s
ep  1500 | eps 0.23 | return   401.59 | HO   4.17 | HOF 31.58 | SE  2.30 | loss 0.0290 |   4796s
ep  1525 | eps 0.22 | return   409.07 | HO   4.17 | HOF 30.39 | SE  2.31 | loss 0.0284 |   4876s
ep  1550 | eps 0.21 | return   415.80 | HO   4.27 | HOF 29.12 | SE  2.32 | loss 0.0277 |   4956s
ep  1575 | eps 0.20 | return   420.50 | HO   4.34 | HOF 28.24 | SE  2.32 | loss 0.0269 |   5036s
ep  1600 | eps 0.19 | return   429.24 | HO   4.27 | HOF 27.03 | SE  2.33 | loss 0.0259 |   5116s
ep  1625 | eps 0.18 | return   434.05 | HO   4.31 | HOF 26.28 | SE  2.34 | loss 0.0255 |   5196s
ep  1650 | eps 0.17 | return   442.51 | HO   4.37 | HOF 24.73 | SE  2.35 | loss 0.0245 |   5275s
ep  1675 | eps 0.16 | return   448.35 | HO   4.37 | HOF 23.91 | SE  2.35 | loss 0.0239 |   5356s
ep  1700 | eps 0.14 | return   456.42 | HO   4.40 | HOF 22.80 | SE  2.36 | loss 0.0233 |   5436s
ep  1725 | eps 0.13 | return   462.17 | HO   4.38 | HOF 21.78 | SE  2.37 | loss 0.0225 |   5515s
ep  1750 | eps 0.12 | return   468.79 | HO   4.36 | HOF 20.57 | SE  2.38 | loss 0.0223 |   5595s
ep  1775 | eps 0.11 | return   476.80 | HO   4.50 | HOF 19.28 | SE  2.38 | loss 0.0217 |   5675s
ep  1800 | eps 0.10 | return   484.73 | HO   4.44 | HOF 18.02 | SE  2.39 | loss 0.0210 |   5756s
ep  1825 | eps 0.10 | return   488.83 | HO   4.40 | HOF 17.37 | SE  2.40 | loss 0.0206 |   5836s
ep  1850 | eps 0.10 | return   487.14 | HO   4.49 | HOF 17.58 | SE  2.39 | loss 0.0202 |   5915s
ep  1875 | eps 0.10 | return   489.27 | HO   4.49 | HOF 17.33 | SE  2.40 | loss 0.0197 |   5996s
ep  1900 | eps 0.10 | return   488.21 | HO   4.39 | HOF 17.36 | SE  2.40 | loss 0.0195 |   6076s
ep  1925 | eps 0.10 | return   488.16 | HO   4.47 | HOF 17.28 | SE  2.40 | loss 0.0194 |   6155s
ep  1950 | eps 0.10 | return   488.64 | HO   4.44 | HOF 17.46 | SE  2.40 | loss 0.0193 |   6235s
ep  1975 | eps 0.10 | return   488.89 | HO   4.38 | HOF 17.36 | SE  2.40 | loss 0.0191 |   6315s
ep  2000 | eps 0.10 | return   488.48 | HO   4.40 | HOF 17.35 | SE  2.40 | loss 0.0191 |   6395s
