ep     1 | eps 0.90 | return   186.04 | HO   2.35 | HOF 68.21 | SE  2.05 | loss nan |      3s
ep  1325 | eps 0.31 | return   407.72 | HO   4.18 | HOF 36.17 | SE  2.27 | loss 1.6448 |   4209s
ep  1350 | eps 0.30 | return   411.79 | HO   4.23 | HOF 35.49 | SE  2.27 | loss 1.5993 |   4289s
ep  1375 | eps 0.29 | return   417.07 | HO   4.29 | HOF 34.69 | SE  2.28 | loss 1.5621 |   4368s
ep  1400 | eps 0.28 | return   424.20 | HO   4.31 | HOF 33.95 | SE  2.28 | loss 1.5051 |   4447s
ep  1425 | eps 0.27 | return   430.40 | HO   4.25 | HOF 32.94 | SE  2.29 | loss 1.4464 |   4527s
ep  1450 | eps 0.26 | return   436.80 | HO   4.36 | HOF 32.08 | SE  2.30 | loss 1.3991 |   4606s
ep  1475 | eps 0.24 | return   443.43 | HO   4.42 | HOF 31.07 | SE  2.31 | loss 1.3583 |   4685s
ep  1500 | eps 0.23 | return   448.44 | HO   4.39 | HOF 30.25 | SE  2.31 | loss 1.2940 |   4764s
ep  1525 | eps 0.22 | return   456.14 | HO   4.43 | HOF 29.16 | SE  2.32 | loss 1.2526 |   4843s
ep  1550 | eps 0.21 | return   460.67 | HO   4.57 | HOF 28.37 | SE  2.32 | loss 1.2105 |   4922s
ep  1575 | eps 0.20 | return   468.85 | HO   4.49 | HOF 27.34 | SE  2.33 | loss 1.1493 |   5001s
ep  1600 | eps 0.19 | return   472.86 | HO   4.53 | HOF 26.56 | SE  2.33 | loss 1.1005 |   5080s
ep  1625 | eps 0.18 | return   481.16 | HO   4.50 | HOF 25.41 | SE  2.34 | loss 1.0509 |   5160s
ep  1650 | eps 0.17 | return   487.43 | HO   4.52 | HOF 24.46 | SE  2.35 | loss 1.0076 |   5239s
ep  1675 | eps 0.16 | return   498.42 | HO   4.47 | HOF 23.23 | SE  2.36 | loss 0.9506 |   5319s
ep  1700 | eps 0.14 | return   505.35 | HO   4.48 | HOF 22.05 | SE  2.37 | loss 0.9046 |   5398s
ep  1725 | eps 0.13 | return   515.68 | HO   4.41 | HOF 21.01 | SE  2.38 | loss 0.8454 |   5477s
ep  1750 | eps 0.12 | return   523.43 | HO   4.52 | HOF 19.65 | SE  2.39 | loss 0.8032 |   5555s
ep  1775 | eps 0.11 | return   533.56 | HO   4.41 | HOF 18.33 | SE  2.40 | loss 0.7578 |   5635s
ep  1800 | eps 0.10 | return   540.63 | HO   4.46 | HOF 17.12 | SE  2.40 | loss 0.7057 |   5714s
ep  1825 | eps 0.10 | return   542.85 | HO   4.53 | HOF 16.53 | SE  2.41 | loss 0.6453 |   5793s
ep  1850 | eps 0.10 | return   542.08 | HO   4.44 | HOF 16.75 | SE  2.40 | loss 0.6118 |   5872s
ep  1875 | eps 0.10 | return   541.17 | HO   4.38 | HOF 16.86 | SE  2.40 | loss 0.5770 |   5952s
ep  1900 | eps 0.10 | return   540.97 | HO   4.34 | HOF 16.87 | SE  2.40 | loss 0.5527 |   6031s
ep  1925 | eps 0.10 | return   543.65 | HO   4.37 | HOF 16.76 | SE  2.40 | loss 0.5313 |   6110s
ep  1950 | eps 0.10 | return   544.15 | HO   4.45 | HOF 16.67 | SE  2.41 | loss 0.5166 |   6189s
ep  1975 | eps 0.10 | return   546.67 | HO   4.39 | HOF 16.47 | SE  2.41 | loss 0.5063 |   6269s
ep  2000 | eps 0.10 | return   543.30 | HO   4.44 | HOF 16.70 | SE  2.41 | loss 0.5042 |   6348s
ep  2025 | eps 0.10 | return   546.71 | HO   4.29 | HOF 16.66 | SE  2.41 | loss 0.5008 |   6427s
ep  2050 | eps 0.10 | return   547.19 | HO   4.32 | HOF 16.43 | SE  2.41 | loss 0.4966 |   6506s
ep  2075 | eps 0.10 | return   546.10 | HO   4.41 | HOF 16.49 | SE  2.41 | loss 0.4906 |   6587s
ep  2100 | eps 0.10 | return   543.69 | HO   4.39 | HOF 16.61 | SE  2.41 | loss 0.4833 |   6666s
ep  2125 | eps 0.10 | return   545.12 | HO   4.31 | HOF 16.81 | SE  2.41 | loss 0.4819 |   6745s
ep  2150 | eps 0.10 | return   545.93 | HO   4.25 | HOF 16.83 | SE  2.40 | loss 0.4864 |   6824s
ep  2175 | eps 0.10 | return   544.58 | HO   4.32 | HOF 16.65 | SE  2.40 | loss 0.4785 |   6904s
ep  2200 | eps 0.10 | return   542.96 | HO   4.35 | HOF 16.63 | SE  2.41 | loss 0.4777 |   6983s
ep  2225 | eps 0.10 | return   542.60 | HO   4.29 | HOF 16.58 | SE  2.41 | loss 0.4741 |   7063s
ep  2250 | eps 0.10 | return   543.32 | HO   4.07 | HOF 17.00 | SE  2.41 | loss 0.4730 |   7142s
ep  2275 | eps 0.10 | return   543.96 | HO   3.96 | HOF 16.82 | SE  2.42 | loss 0.4699 |   7221s
ep  2300 | eps 0.10 | return   546.41 | HO   3.98 | HOF 16.70 | SE  2.42 | loss 0.4677 |   7300s
ep  2325 | eps 0.10 | return   546.14 | HO   4.03 | HOF 16.84 | SE  2.41 | loss 0.4618 |   7379s
ep  2350 | eps 0.10 | return   545.16 | HO   4.13 | HOF 16.82 | SE  2.42 | loss 0.4618 |   7459s
ep  2375 | eps 0.10 | return   546.56 | HO   4.13 | HOF 16.61 | SE  2.42 | loss 0.4567 |   7538s
ep  2400 | eps 0.10 | return   545.15 | HO   4.14 | HOF 16.76 | SE  2.41 | loss 0.4525 |   7617s
ep  2425 | eps 0.10 | return   545.37 | HO   4.14 | HOF 16.87 | SE  2.41 | loss 0.4535 |   7697s
ep  2450 | eps 0.10 | return   545.56 | HO   4.15 | HOF 16.73 | SE  2.41 | loss 0.4516 |   7776s
ep  2475 | eps 0.10 | return   544.17 | HO   4.16 | HOF 16.56 | SE  2.41 | loss 0.4486 |   7855s
ep  2500 | eps 0.10 | return   544.15 | HO   4.22 | HOF 16.55 | SE  2.41 | loss 0.4478 |   7934s
ep  2525 | eps 0.10 | return   542.73 | HO   4.16 | HOF 16.54 | SE  2.41 | loss 0.4439 |   8014s
ep  2550 | eps 0.10 | return   544.28 | HO   4.05 | HOF 16.75 | SE  2.41 | loss 0.4466 |   8093s
ep  2575 | eps 0.10 | return   542.79 | HO   4.10 | HOF 16.63 | SE  2.41 | loss 0.4434 |   8172s
ep  2600 | eps 0.10 | return   540.89 | HO   4.09 | HOF 16.74 | SE  2.41 | loss 0.4423 |   8251s
ep  2625 | eps 0.10 | return   543.12 | HO   4.14 | HOF 16.67 | SE  2.41 | loss 0.4400 |   8331s
ep  2650 | eps 0.10 | return   543.12 | HO   4.18 | HOF 16.68 | SE  2.41 | loss 0.4373 |   8410s
ep  2675 | eps 0.10 | return   542.00 | HO   4.16 | HOF 16.74 | SE  2.41 | loss 0.4377 |   8489s
ep  2700 | eps 0.10 | return   542.50 | HO   4.18 | HOF 16.62 | SE  2.41 | loss 0.4348 |   8569s
ep  2725 | eps 0.10 | return   543.94 | HO   4.14 | HOF 16.55 | SE  2.41 | loss 0.4345 |   8648s
ep  2750 | eps 0.10 | return   544.00 | HO   4.19 | HOF 16.70 | SE  2.41 | loss 0.4304 |   8731s
ep  2775 | eps 0.10 | return   541.24 | HO   4.07 | HOF 16.85 | SE  2.41 | loss 0.4311 |   8811s
ep  2800 | eps 0.10 | return   542.12 | HO   4.12 | HOF 16.57 | SE  2.41 | loss 0.4300 |   8892s
ep  2825 | eps 0.10 | return   543.79 | HO   4.08 | HOF 16.74 | SE  2.41 | loss 0.4303 |   8971s
ep  2850 | eps 0.10 | return   542.38 | HO   4.11 | HOF 16.62 | SE  2.42 | loss 0.4257 |   9052s
ep  2875 | eps 0.10 | return   539.94 | HO   4.04 | HOF 16.83 | SE  2.41 | loss 0.4283 |   9133s
ep  2900 | eps 0.10 | return   545.99 | HO   4.09 | HOF 16.58 | SE  2.42 | loss 0.4274 |   9214s
ep  2925 | eps 0.10 | return   542.90 | HO   3.98 | HOF 16.73 | SE  2.42 | loss 0.4259 |   9294s
ep  2950 | eps 0.10 | return   543.91 | HO   4.03 | HOF 16.79 | SE  2.41 | loss 0.4280 |   9374s
ep  2975 | eps 0.10 | return   544.19 | HO   4.12 | HOF 16.54 | SE  2.42 | loss 0.4275 |   9454s
ep  3000 | eps 0.10 | return   543.98 | HO   4.06 | HOF 16.66 | SE  2.41 | loss 0.4221 |   9534s
