ep     1 | eps 0.90 | return   -93.93 | HO   2.60 | HOF 64.10 | SE  2.06 | loss nan |      3s
ep  1300 | eps 0.47 | return     5.47 | HO   3.68 | HOF 47.04 | SE  2.20 | loss 0.0439 |   4080s
ep  1325 | eps 0.46 | return     7.18 | HO   3.64 | HOF 46.75 | SE  2.20 | loss 0.0430 |   4158s
ep  1350 | eps 0.45 | return     9.99 | HO   3.68 | HOF 46.26 | SE  2.20 | loss 0.0415 |   4237s
ep  1375 | eps 0.44 | return    12.52 | HO   3.74 | HOF 45.70 | SE  2.21 | loss 0.0407 |   4315s
ep  1400 | eps 0.43 | return    15.64 | HO   3.73 | HOF 45.23 | SE  2.21 | loss 0.0397 |   4393s
ep  1425 | eps 0.42 | return    17.22 | HO   3.77 | HOF 44.95 | SE  2.21 | loss 0.0390 |   4472s
ep  1450 | eps 0.42 | return    18.92 | HO   3.67 | HOF 44.54 | SE  2.21 | loss 0.0383 |   4550s
ep  1475 | eps 0.41 | return    20.35 | HO   3.82 | HOF 44.04 | SE  2.22 | loss 0.0369 |   4629s
ep  1500 | eps 0.40 | return    23.26 | HO   3.76 | HOF 43.78 | SE  2.22 | loss 0.0364 |   4708s
ep  1525 | eps 0.39 | return    26.54 | HO   3.80 | HOF 43.08 | SE  2.22 | loss 0.0357 |   4786s
ep  1550 | eps 0.38 | return    32.12 | HO   3.79 | HOF 42.34 | SE  2.23 | loss 0.0350 |   4865s
ep  1575 | eps 0.38 | return    31.34 | HO   3.88 | HOF 42.09 | SE  2.23 | loss 0.0340 |   4944s
ep  1600 | eps 0.37 | return    37.53 | HO   3.82 | HOF 41.20 | SE  2.24 | loss 0.0337 |   5023s
ep  1625 | eps 0.36 | return    37.62 | HO   3.89 | HOF 40.94 | SE  2.24 | loss 0.0331 |   5101s
ep  1650 | eps 0.35 | return    44.40 | HO   3.90 | HOF 40.01 | SE  2.25 | loss 0.0325 |   5179s
ep  1675 | eps 0.34 | return    46.13 | HO   3.81 | HOF 39.75 | SE  2.25 | loss 0.0316 |   5258s
ep  1700 | eps 0.33 | return    50.37 | HO   3.92 | HOF 39.14 | SE  2.26 | loss 0.0315 |   5336s
ep  1725 | eps 0.32 | return    50.45 | HO   3.98 | HOF 38.73 | SE  2.26 | loss 0.0309 |   5415s
ep  1750 | eps 0.32 | return    55.11 | HO   3.94 | HOF 37.94 | SE  2.26 | loss 0.0308 |   5494s
ep  1775 | eps 0.31 | return    57.36 | HO   3.96 | HOF 37.57 | SE  2.26 | loss 0.0302 |   5572s
ep  1800 | eps 0.30 | return    63.52 | HO   4.02 | HOF 36.65 | SE  2.27 | loss 0.0292 |   5651s
ep  1825 | eps 0.29 | return    66.08 | HO   3.92 | HOF 36.23 | SE  2.28 | loss 0.0292 |   5729s
ep  1850 | eps 0.28 | return    64.14 | HO   3.92 | HOF 36.19 | SE  2.27 | loss 0.0286 |   5808s
ep  1875 | eps 0.28 | return    71.51 | HO   4.07 | HOF 35.16 | SE  2.28 | loss 0.0282 |   5886s
ep  1900 | eps 0.27 | return    75.78 | HO   3.93 | HOF 34.26 | SE  2.29 | loss 0.0278 |   5964s
ep  1925 | eps 0.26 | return    78.62 | HO   4.01 | HOF 33.72 | SE  2.29 | loss 0.0274 |   6043s
ep  1950 | eps 0.25 | return    81.28 | HO   4.04 | HOF 33.08 | SE  2.30 | loss 0.0271 |   6122s
ep  1975 | eps 0.24 | return    85.25 | HO   4.10 | HOF 32.29 | SE  2.30 | loss 0.0269 |   6200s
ep  2000 | eps 0.23 | return    90.75 | HO   3.98 | HOF 31.63 | SE  2.31 | loss 0.0263 |   6279s
ep  2025 | eps 0.22 | return    93.08 | HO   3.97 | HOF 31.21 | SE  2.31 | loss 0.0260 |   6357s
ep  2050 | eps 0.22 | return    97.73 | HO   4.14 | HOF 30.21 | SE  2.32 | loss 0.0257 |   6435s
ep  2075 | eps 0.21 | return   102.86 | HO   3.99 | HOF 29.55 | SE  2.33 | loss 0.0250 |   6514s
ep  2100 | eps 0.20 | return   105.45 | HO   4.16 | HOF 28.96 | SE  2.33 | loss 0.0243 |   6592s
ep  2125 | eps 0.19 | return   111.09 | HO   4.13 | HOF 27.94 | SE  2.33 | loss 0.0241 |   6671s
ep  2150 | eps 0.18 | return   113.00 | HO   4.19 | HOF 27.46 | SE  2.34 | loss 0.0238 |   6750s
ep  2175 | eps 0.17 | return   117.42 | HO   4.18 | HOF 26.52 | SE  2.34 | loss 0.0233 |   6829s
ep  2200 | eps 0.17 | return   121.15 | HO   4.15 | HOF 25.97 | SE  2.35 | loss 0.0232 |   6908s
ep  2225 | eps 0.16 | return   124.10 | HO   4.31 | HOF 25.09 | SE  2.35 | loss 0.0226 |   6987s
ep  2250 | eps 0.15 | return   128.75 | HO   4.28 | HOF 24.38 | SE  2.36 | loss 0.0221 |   7066s
ep  2275 | eps 0.14 | return   136.79 | HO   4.26 | HOF 23.08 | SE  2.37 | loss 0.0216 |   7146s
ep  2300 | eps 0.13 | return   141.14 | HO   4.19 | HOF 22.42 | SE  2.37 | loss 0.0213 |   7225s
ep  2325 | eps 0.12 | return   142.65 | HO   4.24 | HOF 21.75 | SE  2.38 | loss 0.0210 |   7304s
ep  2350 | eps 0.12 | return   147.73 | HO   4.36 | HOF 20.68 | SE  2.38 | loss 0.0208 |   7383s
ep  2375 | eps 0.11 | return   152.71 | HO   4.27 | HOF 19.97 | SE  2.39 | loss 0.0198 |   7461s
ep  2400 | eps 0.10 | return   161.12 | HO   4.28 | HOF 18.68 | SE  2.40 | loss 0.0195 |   7539s
ep  2425 | eps 0.10 | return   161.19 | HO   4.35 | HOF 18.30 | SE  2.40 | loss 0.0191 |   7617s
ep  2450 | eps 0.10 | return   163.49 | HO   4.29 | HOF 18.05 | SE  2.40 | loss 0.0186 |   7695s
ep  2475 | eps 0.10 | return   162.21 | HO   4.25 | HOF 18.28 | SE  2.40 | loss 0.0182 |   7773s
ep  2500 | eps 0.10 | return   162.06 | HO   4.26 | HOF 18.26 | SE  2.40 | loss 0.0177 |   7852s
