ep     1 | eps 0.90 | return   186.27 | HO   2.35 | HOF 65.96 | SE  2.06 | loss nan |      3s
ep    25 | eps 0.89 | return   186.11 | HO   2.43 | HOF 65.98 | SE  2.06 | loss 11.2921 |     78s
ep    50 | eps 0.88 | return   189.57 | HO   2.48 | HOF 65.57 | SE  2.07 | loss 0.7804 |    156s
ep    75 | eps 0.87 | return   188.33 | HO   2.52 | HOF 65.73 | SE  2.07 | loss 0.2872 |    235s
ep   100 | eps 0.86 | return   182.03 | HO   2.45 | HOF 66.75 | SE  2.06 | loss 0.1707 |    313s
ep   125 | eps 0.84 | return   203.75 | HO   2.88 | HOF 63.22 | SE  2.08 | loss 0.1543 |    393s
ep   150 | eps 0.83 | return   209.33 | HO   2.88 | HOF 62.41 | SE  2.09 | loss 0.1236 |    472s
ep   175 | eps 0.82 | return   203.02 | HO   2.71 | HOF 63.51 | SE  2.08 | loss 0.1469 |    551s
ep   200 | eps 0.81 | return   198.53 | HO   2.53 | HOF 64.20 | SE  2.08 | loss 0.1167 |    632s
ep   225 | eps 0.80 | return   200.58 | HO   2.49 | HOF 63.94 | SE  2.08 | loss 0.3255 |    711s
ep   250 | eps 0.79 | return   198.75 | HO   2.48 | HOF 64.10 | SE  2.08 | loss 0.6012 |    791s
ep   275 | eps 0.78 | return   201.00 | HO   2.44 | HOF 63.93 | SE  2.08 | loss 0.4699 |    871s
ep   300 | eps 0.77 | return   210.97 | HO   2.62 | HOF 62.34 | SE  2.09 | loss 0.4971 |    950s
ep   325 | eps 0.76 | return   221.82 | HO   2.93 | HOF 60.52 | SE  2.10 | loss 0.1798 |   1030s
ep   350 | eps 0.74 | return   223.18 | HO   2.91 | HOF 60.34 | SE  2.10 | loss 0.1191 |   1110s
ep   375 | eps 0.73 | return   215.37 | HO   2.66 | HOF 61.66 | SE  2.10 | loss 0.5758 |   1189s
ep   400 | eps 0.72 | return   208.52 | HO   2.38 | HOF 62.76 | SE  2.09 | loss 0.3181 |   1269s
ep   425 | eps 0.71 | return   221.95 | HO   2.78 | HOF 60.61 | SE  2.11 | loss 0.1584 |   1349s
ep   450 | eps 0.70 | return   216.13 | HO   2.68 | HOF 61.51 | SE  2.10 | loss 0.1617 |   1428s
ep   475 | eps 0.69 | return   218.93 | HO   2.73 | HOF 61.14 | SE  2.10 | loss 0.1403 |   1508s
ep   500 | eps 0.68 | return   232.56 | HO   3.04 | HOF 58.84 | SE  2.12 | loss 0.1118 |   1588s
